序号,name,tag(推荐菜),district,机器判定,人工判定(对留空/错填:traditional|modern|excluded),备注
1,正新鸡排(南村店),鸡排,番禺区,modern,,
2,牛扒先生(麦地店),"带骨西冷牛扒,原切谷饲雪花牛扒,谷饲无骨牛小扒,火焰牛扒,经典意大利肉酱面,谷饲菲力牛扒,韩式泡菜炒饭,奥利奥鲜奶冻,香草牛扒,香煎奥尔良鸡腿扒,双人餐,薯条,牛排",白云区,other_chicken,,
3,老西关碳炉鸡煲,甲鱼鸡,天河区,other_chicken,,
4,窑鸡王(黄村店),"卤香鸭脖,招牌窑鸡（整只）,招牌窑鸡,腊味饭,盐焗三宝,盐焗鸡爪,盐焗鸡心,卤香藕片,卤香三结义,卤香鸭肠,卤香鹌鹑蛋,双人餐",天河区,traditional,,
5,大岗仙庙烧鸡,双人餐,番禺区,other_chicken,,
6,老广州鸡煲(燕塘店)(暂停营业),鸡煲,天河区,other_chicken,,
7,桃子酸辣鸡,,增城区,other_chicken,,
8,炸鸡宫殿(大石街道植村店),炸鸡,番禺区,modern,,
9,醉仙现烤脆皮烧鸡(石井店),,白云区,other_chicken,,
10,睿睿小厨新中式健康菜,"黑椒猪扒滑蛋饭,港式卤肉饭,时令蔬菜,啤酒鸭滑蛋饭,港式卤肉滑蛋饭,凤梨鸡腿饭,鲜嫩大鸡腿滑蛋饭,番茄炒鸡蛋饭,鸡胸肉炒杏鲍菇片,罗宋汤,啤酒鸭,糙米饭,单人餐,柠檬茶",白云区,other_chicken,,
11,九妹农家大铁锅东北菜(江湾店),"铁锅炖,锅包肉,鸡肉,东北菜",海珠区,other_chicken,,
12,轻咔食社(石楼店),"牛肉粒养麦面能量碗,利宾纳气泡饮,木果熏鸡腿时蔬沙拉,番茄肉酱炒意面,招牌日式卤肉饭,照烧鸡扒杂粮能量碗,荞麦面",番禺区,other_chicken,,
13,脆皮手撕鸡摊,,番禺区,traditional,,
14,陈记竹窝肠粉,椰子鸡,白云区,modern,,
15,新奥尔良烤鸡,,白云区,modern,,
16,水无沙·精致湘菜(嘉禾店),"剁椒鱼头,嫩仔黄牛肉,长沙臭豆腐,川味口水鸡,血鸭,乡里干莴笋炒五花肉,葱香鸡,辣椒炒肉,原创当家肉,清蒸鲈鱼,秘制酱泡萝卜,双人餐,辣椒炒肉",白云区,modern,,
17,兜兜肥肠鸡·牛蛙,牛蛙,荔湾区,other_chicken,,
18,德记柴火鸡,柴火鸡,天河区,other_chicken,,
19,太二酸菜鱼(广州仰忠汇店),"蒜香粉丝虾,沸腾麻婆豆腐,招牌鲈鱼酸菜鱼,冰激凌糍粑,鸡蛋烧腐竹,辣椒炒肉,爆炒鲜牛肉,生焗蒜蓉粉丝虾,菜籽油爆炒鲜土鸡,不辣的鲈鱼酸菜鱼,毛血旺,五花肉炒菜花,超下饭小炒牛肉,吮指鸡翅,石锅鸡爪,酸菜鱼,麻婆豆腐,双人餐",越秀区,other_chicken,,
20,华辉拉肠(燕岗店),"新鲜爽滑土猪肉肠,虫草花鸡皇粥,一口松脆咸煎饼,劲炒牛河,金银满屋鲜虾炸云吞,足料金牌艇仔粥,天气冲牛腩饭,8只黄金大鲜虾肠,椰子炖老鸡汤,单人餐",海珠区,other_chicken,,
