id,name,name_norm,label,match_source,district,address,typecode,type,tag,lng,lat
B0J2ZZH5EC,大凤鲜鸡煲(五羊新城旗舰店),大凤鲜鸡煲,other_chicken,招牌,越秀区,寺右一马路6号6201-2,050100,餐饮服务;中餐厅;中餐厅,"双人餐,鸡肉",113.302346,23.119775
B0K2F7NL0B,DD米醋鸡煲食坊,DD米醋鸡煲食坊,other_chicken,招牌,越秀区,寺右一马路8号8201,050102,餐饮服务;中餐厅;四川菜(川菜),,113.302398,23.120415
B0L65RDCPW,虎头炸·潮汕南乳炸鸡(五羊新城店),虎头炸·潮汕南乳炸鸡,modern,招牌,越秀区,寺右一马路10号10106铺,050300,餐饮服务;快餐厅;快餐厅,炸鸡,113.302429,23.121262
B0J0MGRXZS,番佬掂·劲脆烧肉(五羊邨店),番佬掂·劲脆烧肉,non_chicken,,越秀区,明月二路(国富图文旁)(五羊邨地铁站F口步行460米),050000,餐饮服务;餐饮相关场所;餐饮相关,"套餐饭,烧鹅",113.307202,23.118642
B0J2LC0KD4,窑鸡王(珠江新城店),窑鸡王,traditional,招牌,越秀区,猎德街道花城大道20号广州远洋大厦地下1层B103铺,050000,餐饮服务;餐饮相关场所;餐饮相关,"盐焗三宝,盐焗鸡爪,盐焗鸡心,卤香藕片,卤香三结义,招牌窑鸡（整只）,招牌窑鸡,腊味饭,卤香鸭肠,卤香鹌鹑蛋,卤香鸭脖,双人餐",113.307836,23.118753
B0K105N057,粤味烧·劲脆烧肉(烧腊·快餐·五羊邨店),粤味烧·劲脆烧肉,traditional,推荐菜,越秀区,寺右南二街三巷2号101(五羊邨地铁站A口步行370米),050000,餐饮服务;餐饮相关场所;餐饮相关,"劲脆烧肉,豉油鸡,叉烧饭",113.306295,23.120731
B0KR4DHD23,湛江隔水蒸鸡(下渡大街店),湛江隔水蒸鸡,traditional,招牌,海珠区,下渡大街70号之二,050100,餐饮服务;中餐厅;中餐厅,,113.299762,23.104899
B0H10DUSIC,一号清远鸡·猪肚鸡·椰子鸡(五羊店),一号清远鸡·猪肚鸡·椰子鸡,traditional,招牌,越秀区,寺右新马路南二街六巷11号首层112铺,050300,餐饮服务;快餐厅;快餐厅,"猪肚鸡,椰子鸡",113.307536,23.119841
B0M65DI2MD,老柳州脆皮手撕鸡,老柳州脆皮手撕鸡,traditional,招牌,越秀区,东湖社区寺右南一街六巷3号东湖社区文体广场,050100,餐饮服务;中餐厅;中餐厅,,113.306118,23.119105
B0FFGCSF3G,渔意楼 清遠雞沙田乳鸽店,渔意楼清遠雞沙田乳鸽店,traditional,推荐菜,越秀区,寺右新马路170号首层(五羊邨地铁站A口步行60米),050100,餐饮服务;中餐厅;中餐厅,"鸡肉,蛋挞,白切鸡,下午茶,乳鸽,大排档",113.308189,23.12169
B0FFLKM8ZS,映日农场无花果鸡,映日农场无花果鸡,other_chicken,招牌,海珠区,滨江东路586号珠光高派华庭一楼,050100,餐饮服务;中餐厅;中餐厅,"单人餐,鸡肉,双人餐",113.299229,23.104792
B0KUG5UGSK,濠然粤菜馆·湛江鸡(五羊天街店),濠然粤菜馆·湛江鸡,traditional,招牌,越秀区,寺右新马路162号之五,050103,餐饮服务;中餐厅;广东菜(粤菜),"湛江鸡,白切鸡,走地鸡,捞粉,鹅肉,招牌白切湛江扇鸡,白切鸡",113.306874,23.122194
B0I1H7T2FD,以鸡为煮(广州塔店),以鸡为煮,traditional,招牌,海珠区,金菊路63-101铺(经典居对面),050100,餐饮服务;中餐厅;中餐厅,"啫啫鸡煲,牛杂煲,白切猪杂,蒜蓉炒时蔬,原盅炖汤,沙姜捞猪肚",113.308966,23.103731
B00141OFSI,红满堂鸡煲(中大店),红满堂鸡煲,other_chicken,招牌,海珠区,中山大学广州南校区黄铭衍堂南门东180米,050100,餐饮服务;中餐厅;中餐厅,双人餐,113.296416,23.104642
B0H2H1ITRI,湛江白切鸡(上渡路店),湛江白切鸡,traditional,招牌,海珠区,金豪嘉苑金骏街20号自编8-10商铺,050103,餐饮服务;中餐厅;广东菜(粤菜),,113.302423,23.103664
B0IGC7HUR2,清心鸡·蛋挞皇(五羊店),清心鸡·蛋挞皇,other_chicken,招牌,越秀区,寺右新马路170号1层61B号铺,050800,餐饮服务;糕饼店;糕饼店,"下午茶,蛋挞",113.30821,23.121328
B0LG1Z4ITF,紫燕百味鸡(广州越秀寺右市场店),紫燕百味鸡,modern,招牌,越秀区,寺右二马路37号首层115铺第B-6号铺,050000,餐饮服务;餐饮相关场所;餐饮相关,素菜,113.304611,23.121845
B0MGY55XHU,龙门胡须鸡,龙门胡须鸡,traditional,招牌,海珠区,金菊路38号世纪云顶负一层,050100,餐饮服务;中餐厅;中餐厅,,113.309301,23.103202
B0LGO55BV1,好运来蒜香炸鸡,好运来蒜香炸鸡,modern,招牌,海珠区,下渡西街93号,050000,餐饮服务;餐饮相关场所;餐饮相关,蒜香炸鸡,113.298569,23.104226
B0J0M51IHP,华辉拉肠(大江直街店),华辉拉肠,non_chicken,,海珠区,大江直街10-1号,050000,餐饮服务;餐饮相关场所;餐饮相关,单人餐,113.307182,23.10304
B0KD3SMCH0,番佬掂·劲脆烧肉(鹭江金豪商场店),番佬掂·劲脆烧肉,non_chicken,,海珠区,金豪商场西门旁,050100,餐饮服务;中餐厅;中餐厅,"套餐饭,烧鹅",113.302183,23.103664
B0KKF9QU9E,广州大排档(珠江新城店),广州大排档,traditional,推荐菜,天河区,珠江新城华就路6号保利·108公馆,050100,餐饮服务;中餐厅;中餐厅,"三丝炒面,招牌干炒牛河,一网打尽,脆皮石歧乳鸽,一虾三食,招牌十味手撕鸡,椒丝腐乳炒生菜,濑尿虾,甜美活虾粥,生蚝,大排档,招牌自制叉烧",113.31216,23.118445
B0K22LDUB0,逸百·全鸡汉堡(小北门店),逸百·全鸡汉堡,other_chicken,招牌,海珠区,下渡西街11巷69号102,050300,餐饮服务;快餐厅;快餐厅,,113.298255,23.104524
B0L6UAH06P,炭火烧鸡,炭火烧鸡,other_chicken,招牌,天河区,远洋明珠大厦东门旁(五羊邨地铁站B口步行440米),050100,餐饮服务;中餐厅;中餐厅,,113.311344,23.121338
B0H0VGY0LN,麦当劳(二沙岛晴波路分店),麦当劳,other_chicken,推荐菜,越秀区,二沙岛晴波路43号首层005号、负一层005号铺,050300,餐饮服务;快餐厅;快餐厅,"板烧美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,麦辣美味三件套,原味板烧鸡腿麦满分组合,麦当劳超值嗨餐,（2-3人餐）,双人餐,汉堡,薯条",113.304118,23.110385
B0014246J1,汉堡王(建滔大厦店),汉堡王,non_chicken,,天河区,珠江新城花城大道18号建滔广场第1层第03号单元,050300,餐饮服务;快餐厅;快餐厅,"单人餐,汉堡,牛肉,薯条",113.311993,23.121598
B0FFG9UNXA,赛百味(柏丽广场店),赛百味,modern,推荐菜,海珠区,滨江东路912-974号102b铺,050300,餐饮服务;快餐厅;快餐厅,"鲍鱼大虾,黑胡椒厚切牛排三明治,香溢金枪鱼双拼三明治三件套,黑胡椒厚切牛排三明治三件套,金枪鱼三明治,照烧鸡蛋料双拼三明治三件套,日式照烧鸡三明治,西式火腿三明治,火鸡胸百味卷,双人餐,三明治",113.307787,23.106158
B00140U1UU,麦当劳(五羊新城餐厅),麦当劳,other_chicken,推荐菜,越秀区,五羊新城B4号(五羊邨地铁站F口步行70米),050302,餐饮服务;快餐厅;麦当劳,"麦当劳超值嗨餐,（2-3人餐）,原味板烧鸡腿麦满分组合,板烧美味三件套,麦辣美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,可乐鸡翅,家有金桶（汉堡版）,家有金桶（脆鸡版）,下午茶,双人餐,薯条,汉堡",113.306055,23.121375
B00140SXV2,麦当劳(下渡路分店餐厅),麦当劳,other_chicken,推荐菜,海珠区,上渡路123号首层,050302,餐饮服务;快餐厅;麦当劳,"辣味板烧鸡腿汉堡,麦乐鸡块餐,经典麦辣鸡腿汉堡,麻麻黑甜筒,新地雪糕,烤芝士酱薯条,麦辣鸡翅块,原味麦旋风,菠萝派,双层板烧鸡腿堡,超值午餐,麦香鱼餐,中摩卡,美式经典咖啡,双层麦香鸡,鸡翅,双人餐,汉堡,薯条",113.302975,23.10297
B0G0JOJBKO,麦当劳(金菊路分店),麦当劳,other_chicken,推荐菜,海珠区,金菊路22号101房,050300,餐饮服务;快餐厅;快餐厅,"巨无霸汉堡,安格斯系列,麦辣鸡腿堡,板烧美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,麦辣美味三件套,家有金桶（脆鸡版）,原味板烧鸡腿麦满分组合,麦当劳超值嗨餐,（2-3人餐）,可乐鸡翅,家有金桶（汉堡版）,汉堡,双人餐",113.308288,23.103359
B0KRL1AIL0,麦当劳(广州远洋大厦分店),麦当劳,other_chicken,推荐菜,天河区,珠江新城花城大道20号负一层104商铺,050302,餐饮服务;快餐厅;麦当劳,"人气美味尽享套餐,原味板烧鸡腿麦满分组合,板烧美味三件套,麦辣鸡腿堡,安格斯系列,巨无霸汉堡,大脆鸡扒麦满分组合,麦辣美味三件套,麦当劳超值嗨餐,（2-3人餐）,可乐鸡翅,家有金桶（脆鸡版）,家有金桶（汉堡版）,汉堡,双人餐",113.312806,23.121739
B0J05SWAOM,煲仔正·老广州煲仔饭(五羊新城店),煲仔正·老广州煲仔饭,other_chicken,推荐菜,越秀区,寺右新马路南一街七巷31号101,050000,餐饮服务;餐饮相关场所;餐饮相关,"排骨,鸡肉,煲仔饭,炖汤",113.306439,23.118405
B00140W720,半岛御珍轩酒家,半岛御珍轩酒家,other_chicken,推荐菜,越秀区,渔唱街1号贰楼201房自编,050101,餐饮服务;中餐厅;综合酒楼,"红米肠,绿茶芒果薄撑,红烧桂花乳鸽,虾饺,桶仔蛋挞,避风塘太子鸽,脆皮牛坑腩,好味酱蒸凤爪,红酒汁牛肋骨,清蒸开刀龙趸,炸春卷,XO炒萝卜糕,乡村面疙瘩,金针菇三丝春卷,五谷杂粮煎糕,芝士,鸡肉,双人餐,蛋挞,点心,红烧肉,鲍鱼,龙虾",113.302922,23.110377
