address,adname,id,location,name,type,typecode
番禺区某某路29号,番禺区,B00000,"113.351501,22.926502",顺白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
越秀区某某路36号,越秀区,B00001,"113.284188,23.140602",德白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
白云区某某路23号,白云区,B00002,"113.275430,23.171907",阿白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
天河区某某路56号,天河区,B00003,"113.343960,23.136121",婆白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
白云区某某路51号,白云区,B00004,"113.282961,23.212079",湛白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
海珠区某某路57号,海珠区,B00005,"113.296953,23.066691",记白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
天河区某某路195号,天河区,B00006,"113.378349,23.141888",金白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
荔湾区某某路72号,荔湾区,B00007,"113.209329,23.127433",牌白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
荔湾区某某路27号,荔湾区,B00008,"113.205565,23.075803",客家盐焗鸡(总店),餐饮服务;中餐厅;中餐厅,050118
荔湾区某某路155号,荔湾区,B00009,"113.215871,23.072607",客家盐焗鸡（天河店）,餐饮服务;中餐厅;中餐厅,050118
海珠区某某路138号,海珠区,B00010,"113.277490,23.105338",客家盐焗鸡（番禺店）,餐饮服务;中餐厅;中餐厅,050118
天河区某某路142号,天河区,B00011,"113.347591,23.137718",祺记豉油鸡,餐饮服务;中餐厅;中餐厅,050118
荔湾区某某路148号,荔湾区,B00012,"113.211537,23.074173",阿强沙姜鸡,餐饮服务;中餐厅;中餐厅,050118
番禺区某某路59号,番禺区,B00013,"113.396384,22.969113",啫啫鸡煲王,餐饮服务;中餐厅;中餐厅,050118
越秀区某某路26号,越秀区,B00014,"113.262808,23.127205",潮汕卤水鸡脚,餐饮服务;中餐厅;中餐厅,050118
荔湾区某某路42号,荔湾区,B00015,"113.222211,23.082570",太爷鸡老铺,餐饮服务;中餐厅;中餐厅,050118
荔湾区某某路180号,荔湾区,B00016,"113.256199,23.108882",清远走地鸡庄,餐饮服务;中餐厅;中餐厅,050118
白云区某某路163号,白云区,B00017,"113.250268,23.213748",文记猪肚鸡,餐饮服务;中餐厅;中餐厅,050118
越秀区某某路119号,越秀区,B00018,"113.262767,23.159371",湛江鸡专门店,餐饮服务;中餐厅;中餐厅,050118
番禺区某某路177号,番禺区,B00019,"113.383417,22.951077",华莱士炸鸡汉堡,餐饮服务;中餐厅;中餐厅,050118
天河区某某路59号,天河区,B00020,"113.379308,23.148303",肯氏炸鸡,餐饮服务;中餐厅;中餐厅,050118
海珠区某某路69号,海珠区,B00021,"113.273971,23.104788",首尔韩式炸鸡,餐饮服务;中餐厅;中餐厅,050118
白云区某某路184号,白云区,B00022,"113.258881,23.209326",正新鸡排,餐饮服务;中餐厅;中餐厅,050118
海珠区某某路165号,海珠区,B00023,"113.297531,23.065893",杨铭宇黄焖鸡米饭,餐饮服务;中餐厅;中餐厅,050118
越秀区某某路191号,越秀区,B00024,"113.273682,23.115764",重庆鸡公煲,餐饮服务;中餐厅;中餐厅,050118
白云区某某路110号,白云区,B00025,"113.293869,23.193964",川渝口水鸡,餐饮服务;中餐厅;中餐厅,050118
越秀区某某路36号,越秀区,B00026,"113.270572,23.105455",新疆大盘鸡,餐饮服务;中餐厅;中餐厅,050118
天河区某某路29号,天河区,B00027,"113.339170,23.109599",椰子鸡火锅(珠江新城店),餐饮服务;中餐厅;中餐厅,050118
番禺区某某路109号,番禺区,B00028,"113.385785,22.933086",鸡仔唛美食店,餐饮服务;中餐厅;中餐厅,050118
白云区某某路120号,白云区,B00029,"113.271747,23.228265",鸡煲一条街旗舰店,餐饮服务;中餐厅;中餐厅,050118
天河区某某路175号,天河区,B00030,"113.373243,23.140903",鸡味浓茶餐厅,餐饮服务;中餐厅;中餐厅,050118
海珠区某某路57号,海珠区,B00005,"113.296953,23.066691",记白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
天河区某某路195号,天河区,B00999,"113.378349,23.141888",金白切鸡饭店,餐饮服务;中餐厅;中餐厅,050118
天河区某某路138号,天河区,B00900,"113.375053,23.146116",田鸡王美蛙馆,餐饮服务;中餐厅;中餐厅,050118
天河区某某路88号,天河区,B00901,"113.336693,23.126086",鸡尾酒清吧LOUNGE,餐饮服务;中餐厅;中餐厅,050118
越秀区某某路117号,越秀区,B00902,"113.240195,23.143326",港式鸡蛋仔甜品,餐饮服务;中餐厅;中餐厅,050118
白云区某某路185号,白云区,B00903,"113.255803,23.200035",粤盛鸡精调味商行,餐饮服务;中餐厅;中餐厅,060400
荔湾区某某路46号,荔湾区,B00904,,无名白切鸡档,餐饮服务;中餐厅;中餐厅,050118
